name,distance,street,latitude,longitude,categories
Kishimoto Japanese Kitchen + Sushi Bar,285,2054 Commercial Dr,49.26661,-123.069522,Sushi Restaurant
Lombardo's Pizzeria & Restaurant,271,1641 Commercial Dr,49.270086,-123.069898,"Pizzeria,Italian Restaurant"
Sula Indian Restaurant,308,1128 Commercial Dr,49.274442,-123.069131,Indian Restaurant
Sun Sui Wah Seafood Restaurant,455,3888 Main St,49.250435,-123.100757,"Cantonese Restaurant,Dim Sum Restaurant,Seafood Restaurant"
Sing Sing Beer Bar,519,2718 Main St,49.260652,-123.100815,"Beer Bar,Restaurant"
Sing Sing Beer Bar,400,2718 Main St,49.260652,-123.100815,"Beer Bar,Restaurant"
Sing Sing Beer Bar,608,2718 Main St,49.260652,-123.100815,"Beer Bar,Restaurant"
Nha Trang Restaurant,115,720 Broadway E,49.26229,-123.088463,"Fast Food Restaurant,Vietnamese Restaurant"
Nha Trang Restaurant,116,720 Broadway E,49.26229,-123.088463,"Fast Food Restaurant,Vietnamese Restaurant"
Rooster's Ice Cream Bar,247,1039 Broadway E,49.262611,-123.082406,"Ice Cream Parlor,Restaurant"
Rooster's Ice Cream Bar,303,1039 Broadway E,49.262611,-123.082406,"Ice Cream Parlor,Restaurant"
Koko Japanese Restaurant Ltd,258,2053 Hastings St E,49.281347,-123.062575,Sushi Restaurant
Kishimoto Japanese Kitchen + Sushi Bar,263,2054 Commercial Dr,49.26661,-123.069522,Sushi Restaurant
Szechuan Chong Qing Restaurant,326,2808 Commercial Dr,49.259355,-123.069557,Chinese Restaurant
Szechuan Chong Qing Restaurant,405,2808 Commercial Dr,49.259355,-123.069557,Chinese Restaurant
Koko Japanese Restaurant Ltd,361,2053 Hastings St E,49.281347,-123.062575,Sushi Restaurant
Hai Phong Vietnamese Restaurant,814,1242 Kingsway,49.251306,-123.079095,Vietnamese Restaurant
Sing Sing Beer Bar,864,2718 Main St,49.260652,-123.100815,"Beer Bar,Restaurant"
Hai Phong Vietnamese Restaurant,637,1242 Kingsway,49.251306,-123.079095,Vietnamese Restaurant
Koko Japanese Restaurant Ltd,607,2053 Hastings St E,49.281347,-123.062575,Sushi Restaurant
Thai Son Restaurant,650,373 Broadway E,49.262942,-123.096873,"Thai Restaurant,Vietnamese Restaurant"
Thai Son Restaurant,275,373 Broadway E,49.262942,-123.096873,"Thai Restaurant,Vietnamese Restaurant"
Thai Son Restaurant,502,373 Broadway E,49.262942,-123.096873,"Thai Restaurant,Vietnamese Restaurant"
Thai Son Restaurant,502,373 Broadway E,49.262942,-123.096873,"Thai Restaurant,Vietnamese Restaurant"
Phnom Penh,200,244 E. Georgia St,49.278403,-123.098188,"Cambodian Restaurant,Chinese Restaurant,Vietnamese Restaurant"
Phnom Penh,778,244 E. Georgia St,49.278403,-123.098188,"Cambodian Restaurant,Chinese Restaurant,Vietnamese Restaurant"
Phnom Penh,797,244 E. Georgia St,49.278403,-123.098188,"Cambodian Restaurant,Chinese Restaurant,Vietnamese Restaurant"
Sula Indian Restaurant,153,1128 Commercial Dr,49.274442,-123.069131,Indian Restaurant
Thai Son Restaurant,107,373 Broadway E,49.262942,-123.096873,"Thai Restaurant,Vietnamese Restaurant"
The Sandbar Seafood Restaurant,358,1535 Johnston St,49.27216,-123.134158,"Lounge,Sushi Restaurant,Seafood Restaurant"
Coast Restaurant,187,1054 Alberni St,49.284719,-123.123145,"Seafood Restaurant,Lounge"
CinCin Ristorante + Bar,200,1154 Robson St,49.285312,-123.126197,Italian Restaurant
Peaceful Restaurant,267,532 Broadway W,49.263051,-123.116024,Dim Sum Restaurant
Phnom Penh,486,244 E. Georgia St,49.278403,-123.098188,"Cambodian Restaurant,Chinese Restaurant,Vietnamese Restaurant"
Gotham Steakhouse & Cocktail Bar,145,615 Seymour St,49.282814,-123.115925,Steakhouse
Peaceful Restaurant,247,43 5th Ave E,49.266595,-123.103754,Chinese Restaurant
Peaceful Restaurant,193,43 5th Ave E,49.266595,-123.103754,Chinese Restaurant
Pourhouse Restaurant,199,162 Water St,49.284105,-123.108409,"Restaurant,Lounge"
JINYA Ramen Bar - Vancouver Downtown,24,541 Robson St,49.280369,-123.117907,"Ramen Restaurant,Vegan and Vegetarian Restaurant"
Sushi Dragon Japanese Restaurant,391,614W Broadway W,49.263134,-123.11814,Sushi Restaurant
Pink Pearl Chinese Seafood Restaurant,332,1132 Hastings St E,49.280677,-123.080369,"Fish and Chips Shop,Cantonese Restaurant,Dim Sum Restaurant"
Sylvia's Bar,461,1154 Gilford St,49.288559,-123.142618,Bar
Sushi Bar Maumi,422,1226 Bute St,49.281457,-123.133655,Sushi Restaurant
Sushi Bar Maumi,400,1226 Bute St,49.281457,-123.133655,Sushi Restaurant
Sylvia's Bar,574,1154 Gilford St,49.288559,-123.142618,Bar
Gotham Steakhouse & Cocktail Bar,231,615 Seymour St,49.282814,-123.115925,Steakhouse
Peaceful Restaurant,410,43 5th Ave E,49.266595,-123.103754,Chinese Restaurant
Khaghan Restaurant,39,851 Denman St,49.290793,-123.136888,Persian Restaurant
